"Institusjonskode";"Institusjonsnavn";"Avdelingskode";"Avdelingsnavn";"Årstall";"Semester";"Semesternavn";"Studentkategori";"Kategoritekst";"Antall totalt";"Antall kvinner";"Antall menn"
"0211";"Høgskolen i Bodø";"420000";"Avdeling for humanistiske fag";"2000";"1";"Vår";"S";"Studenter";"236";"146";"90"
"0211";"Høgskolen i Bodø";"420000";"Avdeling for humanistiske fag";"1996";"1";"Vår";"S";"Studenter";"93";"61";"32"
"0211";"Høgskolen i Bodø";"420000";"Avdeling for humanistiske fag";"1999";"1";"Vår";"S";"Studenter";"176";"101";"75"
"0211";"Høgskolen i Bodø";"420000";"Avdeling for humanistiske fag";"1998";"3";"Høst";"S";"Studenter";"230";"125";"105"
"0211";"Høgskolen i Bodø";"430000";"Avdeling for lærerutdanning";"2001";"1";"Vår";"P";"Personer uten studierett";"0";"0";"0"
"0211";"Høgskolen i Bodø";"430000";"Avdeling for lærerutdanning";"2000";"3";"Høst";"S";"Studenter";"981";"747";"234"
"0211";"Høgskolen i Bodø";"430000";"Avdeling for lærerutdanning";"2000";"1";"Vår";"P";"Personer uten studierett";"0";"0";"0"
"0211";"Høgskolen i Bodø";"430000";"Avdeling for lærerutdanning";"2002";"1";"Vår";"S";"Studenter";"851";"643";"208"
"0211";"Høgskolen i Bodø";"430000";"Avdeling for lærerutdanning";"2000";"3";"Høst";"P";"Personer uten studierett";"0";"0";"0"
"0211";"Høgskolen i Bodø";"430000";"Avdeling for lærerutdanning";"1999";"1";"Vår";"S";"Studenter";"842";"674";"168"
"0211";"Høgskolen i Bodø";"430000";"Avdeling for lærerutdanning";"1998";"1";"Vår";"S";"Studenter";"812";"611";"201"
"0211";"Høgskolen i Bodø";"430000";"Avdeling for lærerutdanning";"1997";"1";"Vår";"S";"Studenter";"441";"339";"102"
"0211";"Høgskolen i Bodø";"430000";"Avdeling for lærerutdanning";"2003";"1";"Vår";"S";"Studenter";"906";"652";"254"
"0211";"Høgskolen i Bodø";"430000";"Avdeling for lærerutdanning";"2001";"1";"Vår";"S";"Studenter";"961";"713";"248"
"0211";"Høgskolen i Bodø";"430000";"Avdeling for lærerutdanning";"2000";"1";"Vår";"S";"Studenter";"1102";"830";"272"
"0211";"Høgskolen i Bodø";"430000";"Avdeling for lærerutdanning";"1996";"1";"Vår";"S";"Studenter";"639";"461";"178"
"0211";"Høgskolen i Bodø";"430000";"Avdeling for lærerutdanning";"2002";"3";"Høst";"S";"Studenter";"965";"704";"261"
"0211";"Høgskolen i Bodø";"430000";"Avdeling for lærerutdanning";"1996";"3";"Høst";"S";"Studenter";"832";"605";"227"
"0211";"Høgskolen i Bodø";"430000";"Avdeling for lærerutdanning";"1999";"3";"Høst";"S";"Studenter";"876";"668";"208"
"0211";"Høgskolen i Bodø";"430000";"Avdeling for lærerutdanning";"2001";"3";"Høst";"S";"Studenter";"928";"685";"243"
"0211";"Høgskolen i Bodø";"430000";"Avdeling for lærerutdanning";"1998";"3";"Høst";"S";"Studenter";"932";"700";"232"
"0211";"Høgskolen i Bodø";"430000";"Avdeling for lærerutdanning";"2003";"3";"Høst";"S";"Studenter";"951";"686";"265"
"0211";"Høgskolen i Bodø";"430000";"Avdeling for lærerutdanning";"1997";"3";"Høst";"S";"Studenter";"737";"546";"191"
"0211";"Høgskolen i Bodø";"440000";"Avdeling for helsefag";"2001";"1";"Vår";"S";"Studenter";"764";"639";"125"
"0211";"Høgskolen i Bodø";"440000";"Avdeling for helsefag";"1997";"3";"Høst";"S";"Studenter";"549";"451";"98"
"0211";"Høgskolen i Bodø";"440000";"Avdeling for helsefag";"2001";"3";"Høst";"S";"Studenter";"773";"638";"135"
"0211";"Høgskolen i Bodø";"440000";"Avdeling for helsefag";"2000";"3";"Høst";"S";"Studenter";"795";"607";"188"
"0211";"Høgskolen i Bodø";"440000";"Avdeling for helsefag";"2003";"3";"Høst";"S";"Studenter";"798";"680";"118"
"0211";"Høgskolen i Bodø";"440000";"Avdeling for helsefag";"1998";"3";"Høst";"S";"Studenter";"615";"512";"103"
"0211";"Høgskolen i Bodø";"440000";"Avdeling for helsefag";"2002";"3";"Høst";"S";"Studenter";"705";"591";"114"
